[AgePredModel] load_data: start loading...
[AgePredModel] load_data: Done! Get 339123 for train and 18660 for test!
[AgePredModel] load_data: loading finished !
[AgePredModel] train_model: start training...
[train_model] best weight file found, try to load ...
[train_model] Weights Load Successfull!
Epoch 0/127
----------
0.0% 400/339123 		 Gender Loss 0.4703 		 Age MAE 7.46 		 Acc 0.8025 		 ETA 3781s
0.0% 800/339123 		 Gender Loss 0.4253 		 Age MAE 13.23 		 Acc 0.8325 		 ETA 2606s
0.0% 1200/339123 		 Gender Loss 0.4338 		 Age MAE 8.16 		 Acc 0.8300 		 ETA 2205s
0.0% 1600/339123 		 Gender Loss 0.4665 		 Age MAE 9.39 		 Acc 0.7925 		 ETA 2005s
0.0% 2000/339123 		 Gender Loss 0.4549 		 Age MAE 9.52 		 Acc 0.8100 		 ETA 1883s
0.0% 2400/339123 		 Gender Loss 0.4825 		 Age MAE 7.81 		 Acc 0.8025 		 ETA 1804s
0.0% 2800/339123 		 Gender Loss 0.4347 		 Age MAE 7.98 		 Acc 0.8250 		 ETA 1746s
0.0% 3200/339123 		 Gender Loss 0.4806 		 Age MAE 8.60 		 Acc 0.7900 		 ETA 1703s
0.0% 3600/339123 		 Gender Loss 0.5290 		 Age MAE 8.79 		 Acc 0.7750 		 ETA 1670s
0.0% 4000/339123 		 Gender Loss 0.4750 		 Age MAE 8.19 		 Acc 0.7875 		 ETA 1643s
0.0% 4400/339123 		 Gender Loss 0.4919 		 Age MAE 9.08 		 Acc 0.7900 		 ETA 1620s
0.0% 4800/339123 		 Gender Loss 0.5053 		 Age MAE 7.92 		 Acc 0.7850 		 ETA 1600s
0.0% 5200/339123 		 Gender Loss 0.4907 		 Age MAE 7.67 		 Acc 0.8025 		 ETA 1584s
0.0% 5600/339123 		 Gender Loss 0.5029 		 Age MAE 8.52 		 Acc 0.7675 		 ETA 1570s
0.0% 6000/339123 		 Gender Loss 0.4430 		 Age MAE 7.88 		 Acc 0.8275 		 ETA 1557s
0.0% 6400/339123 		 Gender Loss 0.4495 		 Age MAE 7.42 		 Acc 0.8150 		 ETA 1546s
0.0% 6800/339123 		 Gender Loss 0.5011 		 Age MAE 7.52 		 Acc 0.7875 		 ETA 1536s
0.0% 7200/339123 		 Gender Loss 0.4532 		 Age MAE 7.97 		 Acc 0.8100 		 ETA 1527s
0.0% 7600/339123 		 Gender Loss 0.4584 		 Age MAE 7.90 		 Acc 0.8075 		 ETA 1519s
